id,cue,response,trial,gender,age,age_group
1,risiko,wohnortwechsel,1,female,33,2
2,risiko,angst,1,male,56,4
3,risiko,einschätzbar,1,female,27,1
4,risiko,wetterchaos,1,male,66,5
5,risiko,schwierigkeit,1,female,59,5
6,risiko,arbeit,1,female,26,1
7,risiko,risikomanagement,1,male,37,2
8,risiko,freude,1,male,41,3
9,risiko,mut,1,male,36,2
10,risiko,angst,1,female,45,3
11,risiko,gefahr,1,male,32,2
12,risiko,angst,1,female,30,2
13,risiko,rauchen,1,female,28,2
14,risiko,gefahr,1,female,53,4
15,risiko,tod,1,male,58,5
16,risiko,gesundheit,1,male,61,5
17,risiko,unfall,1,male,58,5
18,risiko,angst,1,male,65,5
19,risiko,säge,1,female,80,6
20,risiko,ungewiss,1,male,75,6
21,risiko,mut,1,female,59,5
22,risiko,spiel,1,male,37,2
23,risiko,altersarmut,1,male,52,4
24,risiko,schaden,1,female,47,3
25,risiko,gefahr,1,male,27,1
26,risiko,verlust,1,female,48,4
27,risiko,schlecht,1,female,63,5
28,risiko,versicherung,1,male,36,2
29,risiko,essen,1,male,67,5
30,risiko,vorsicht,1,female,73,6
31,risiko,gefahr,1,male,62,5
32,risiko,"zwo, eins, risiko ",1,female,31,2
33,risiko,wagnis,1,female,64,5
34,risiko,gefahr,1,male,29,2
35,risiko,verkehr,1,male,73,6
36,risiko,zwo,1,male,30,2
37,risiko,gefahren,1,male,64,5
38,risiko,gefahr,1,male,46,3
39,risiko,darkwin duck,1,male,24,1
40,risiko,brettspiel,1,male,28,2
41,risiko,versicherung,1,male,62,5
42,risiko,alles oder nichts,1,male,46,3
43,risiko,spiel,1,male,34,2
44,risiko,gefahr,1,female,48,4
45,risiko,gefahr,1,female,64,5
46,risiko,angst,1,female,53,4
47,risiko,bewertung,1,male,31,2
48,risiko,leben,1,male,30,2
49,risiko,gefahr,1,male,40,3
50,risiko,klippe,1,male,23,1
51,risiko,mut,1,male,33,2
52,risiko,gefahr,1,female,50,4
53,risiko,eingehen,1,male,22,1
54,risiko,rauchen,1,female,26,1
55,risiko,gefahr,1,female,71,6
56,risiko,gefahr,1,female,31,2
57,risiko,gefahr,1,female,55,4
58,risiko,fun,1,male,53,4
59,risiko,einschätzung,1,male,41,3
60,risiko,verkehr,1,female,63,5
61,risiko,selbstständigkeit,1,male,33,2
62,risiko,geld,1,female,32,2
63,risiko,gefahr,1,female,44,3
64,risiko,rauchen,1,female,28,2
65,risiko,gefährlich,1,female,27,1
66,risiko,extremsport,1,male,31,2
67,risiko,sport,1,male,62,5
68,risiko,fahren,1,male,20,1
69,risiko,gefahr,1,male,57,4
70,risiko,gefahr,1,female,68,6
71,risiko,einschätzen,1,male,67,5
