id,cue,response,response_position,response_level,gender,education
1,intelligence,brain,1,1,female,high school
1,intelligence,knowledge,2,1,female,high school
1,intelligence,wisdom,3,1,female,high school
1,intelligence,iq,4,1,female,high school
1,intelligence,learning,5,1,female,high school
2,intelligence,analysis,1,1,female,high school
2,intelligence,comprehension,2,1,female,high school
2,intelligence,genius,3,1,female,high school
2,intelligence,education,4,1,female,high school
2,intelligence,insight,5,1,female,high school
3,intelligence,creativity,1,1,female,high school
3,intelligence,problem-solving,2,1,female,high school
3,intelligence,innovation,3,1,female,high school
3,intelligence,understanding,4,1,female,high school
3,intelligence,intelligence tests,5,1,female,high school
4,intelligence,cognition,1,1,female,high school
4,intelligence,savvy,2,1,female,high school
4,intelligence,smart,3,1,female,high school
4,intelligence,intellect,4,1,female,high school
4,intelligence,rationality,5,1,female,high school
5,intelligence,curiosity,1,1,female,high school
5,intelligence,aptitude,2,1,female,high school
5,intelligence,expertise,3,1,female,high school
5,intelligence,thinker,4,1,female,high school
5,intelligence,perception,5,1,female,high school
6,intelligence,logic,1,1,female,high school
6,intelligence,reasoning,2,1,female,high school
6,intelligence,acumen,3,1,female,high school
6,intelligence,sharpness,4,1,female,high school
6,intelligence,proficiency,5,1,female,high school
7,intelligence,books,1,1,female,high school
7,intelligence,scholarship,2,1,female,high school
7,intelligence,intelligence agencies,3,1,female,high school
7,intelligence,mental agility,4,1,female,high school
7,intelligence,neurology,5,1,female,high school
8,intelligence,academia,1,1,female,high school
8,intelligence,enlightenment,2,1,female,high school
8,intelligence,mastery,3,1,female,high school
8,intelligence,intellectual,4,1,female,high school
8,intelligence,strategy,5,1,female,high school
9,intelligence,genius,1,1,female,high school
9,intelligence,chess,2,1,female,high school
9,intelligence,scientist,3,1,female,high school
9,intelligence,philosopher,4,1,female,high school
9,intelligence,high-tech,5,1,female,high school
10,intelligence,artificial intelligence,1,1,female,high school
10,intelligence,research,2,1,female,high school
10,intelligence,cognitive,3,1,female,high school
10,intelligence,memory,4,1,female,high school
10,intelligence,puzzles,5,1,female,high school
11,intelligence,brains,1,1,female,high school
11,intelligence,wisdom,2,1,female,high school
11,intelligence,learning,3,1,female,high school
11,intelligence,innovation,4,1,female,high school
11,intelligence,knowledge,5,1,female,high school
12,intelligence,creativity,1,1,female,high school
12,intelligence,genius,2,1,female,high school
12,intelligence,intelligence quotient,3,1,female,high school
12,intelligence,education,4,1,female,high school
12,intelligence,thinking,5,1,female,high school
13,intelligence,analysis,1,1,female,high school
13,intelligence,logic,2,1,female,high school
13,intelligence,strategy,3,1,female,high school
13,intelligence,insight,4,1,female,high school
13,intelligence,understanding,5,1,female,high school
14,intelligence,curiosity,1,1,female,high school
14,intelligence,research,2,1,female,high school
14,intelligence,discovery,3,1,female,high school
14,intelligence,intelligence agency,4,1,female,high school
14,intelligence,cognition,5,1,female,high school
15,intelligence,smart,1,1,female,high school
15,intelligence,skill,2,1,female,high school
15,intelligence,problem-solving,3,1,female,high school
15,intelligence,expertise,4,1,female,high school
15,intelligence,adaptability,5,1,female,high school
16,intelligence,memory,1,1,female,high school
16,intelligence,observation,2,1,female,high school
16,intelligence,comprehension,3,1,female,high school
16,intelligence,savvy,4,1,female,high school
16,intelligence,intellect,5,1,female,high school
17,intelligence,reasoning,1,1,female,high school
17,intelligence,consciousness,2,1,female,high school
17,intelligence,mental acuity,3,1,female,high school
17,intelligence,proficiency,4,1,female,high school
17,intelligence,intellectual capacity,5,1,female,high school
18,intelligence,book-smart,1,1,female,high school
18,intelligence,street-smart,2,1,female,high school
18,intelligence,grit,3,1,female,high school
18,intelligence,puzzles,4,1,female,high school
18,intelligence,calculus,5,1,female,high school
19,intelligence,intelligence tests,1,1,female,high school
19,intelligence,data,2,1,female,high school
19,intelligence,neuroscience,3,1,female,high school
19,intelligence,intuition,4,1,female,high school
19,intelligence,clarity,5,1,female,high school
20,intelligence,information,1,1,female,high school
20,intelligence,mastery,2,1,female,high school
20,intelligence,perspective,3,1,female,high school
20,intelligence,quick-wittedness,4,1,female,high school
20,intelligence,inference,5,1,female,high school
21,intelligence,brain,1,1,female,high school
21,intelligence,learning,2,1,female,high school
21,intelligence,wisdom,3,1,female,high school
21,intelligence,knowledge,4,1,female,high school
21,intelligence,creativity,5,1,female,high school
22,intelligence,iq,1,1,female,high school
22,intelligence,problem-solving,2,1,female,high school
22,intelligence,analytical,3,1,female,high school
22,intelligence,thinking,4,1,female,high school
22,intelligence,understanding,5,1,female,high school
23,intelligence,education,1,1,female,high school
23,intelligence,genius,2,1,female,high school
23,intelligence,smart,3,1,female,high school
23,intelligence,intellect,4,1,female,high school
23,intelligence,comprehension,5,1,female,high school
24,intelligence,insight,1,1,female,high school
24,intelligence,logic,2,1,female,high school
24,intelligence,reasoning,3,1,female,high school
24,intelligence,aptitude,4,1,female,high school
24,intelligence,innovation,5,1,female,high school
25,intelligence,brilliance,1,1,female,high school
25,intelligence,mental,2,1,female,high school
25,intelligence,quick-witted,3,1,female,high school
25,intelligence,curiosity,4,1,female,high school
25,intelligence,acumen,5,1,female,high school
26,intelligence,book-smart,1,1,female,high school
26,intelligence,street-smart,2,1,female,high school
26,intelligence,savvy,3,1,female,high school
26,intelligence,expertise,4,1,female,high school
26,intelligence,adept,5,1,female,high school
27,intelligence,neuroscience,1,1,female,high school
27,intelligence,cognition,2,1,female,high school
27,intelligence,intelligence tests,3,1,female,high school
27,intelligence,gifted,4,1,female,high school
27,intelligence,skillful,5,1,female,high school
28,intelligence,scholar,1,1,female,high school
28,intelligence,intelligent design,2,1,female,high school
28,intelligence,proficiency,3,1,female,high school
28,intelligence,mastery,4,1,female,high school
28,intelligence,competence,5,1,female,high school
29,intelligence,memory,1,1,female,high school
29,intelligence,consciousness,2,1,female,high school
29,intelligence,adaptability,3,1,female,high school
29,intelligence,perception,4,1,female,high school
29,intelligence,intuition,5,1,female,high school
30,intelligence,clever,1,1,female,high school
30,intelligence,bright,2,1,female,high school
30,intelligence,informed,3,1,female,high school
30,intelligence,enlightened,4,1,female,high school
30,intelligence,scholarly,5,1,female,high school
31,intelligence,brains,1,1,female,high school
31,intelligence,learning,2,1,female,high school
31,intelligence,wisdom,3,1,female,high school
31,intelligence,genius,4,1,female,high school
31,intelligence,insight,5,1,female,high school
32,intelligence,iq,1,1,female,high school
32,intelligence,knowledge,2,1,female,high school
32,intelligence,cleverness,3,1,female,high school
32,intelligence,education,4,1,female,high school
32,intelligence,understanding,5,1,female,high school
33,intelligence,thoughtful,1,1,female,high school
33,intelligence,analytical,2,1,female,high school
33,intelligence,smart,3,1,female,high school
33,intelligence,inventive,4,1,female,high school
33,intelligence,logical,5,1,female,high school
34,intelligence,creativity,1,1,female,high school
34,intelligence,problem-solving,2,1,female,high school
34,intelligence,reasoning,3,1,female,high school
34,intelligence,perception,4,1,female,high school
34,intelligence,acumen,5,1,female,high school
35,intelligence,savvy,1,1,female,high school
35,intelligence,intellectual,2,1,female,high school
35,intelligence,capacity,3,1,female,high school
