response,response_correct,response_frequency,spelling_check,acronym_check,acronym_candidate
A,,2,,,
A B Testing,,2,,,
A Brief History of Time,,4,,,
A Farewell to Arms,,1,,,
A plus,,1,,,
A+ report card,,1,,,
ACT,,3,,likely an acronym,Adaptive Control of Thought
ACT scores,,2,,,
ADHD,,1,likely misspelled,likely an acronym,Attention-Deficit Hyperactivity Disorder
AGI Artificial General Intelligence,,1,likely misspelled,,
AI,,25,,likely an acronym,Air Interdiction
AI Assistants,,1,,,
AI art,,1,,,
AI assistants,,1,,,
AI ethics,,5,,,
AI generated art,,2,,,
AI generated music,,1,,,
AI in agriculture,,2,,,
AI in education,,4,,,
AI in entertainment,,2,,,
AI in finance,,3,,,
AI in healthcare,,5,,,
AI in marketing,,1,,,
AI in movies,,2,,,
AI in music,,1,,,
AI in smartphones,,1,,,
AI in social media,,1,,,
AI in space exploration,,2,,,
AI research,,2,,,
AI written articles,,1,,,
ALS,,5,likely misspelled,likely an acronym,Amyotrophic Lateral Sclerosis
ALS Lou Gehrig s disease,,1,likely misspelled,,
AP classes,,2,,,
AP exams,,1,,,
ASIO,,2,likely misspelled,likely an acronym,Australian Security Intelligence Organisation
Ability,,1,,,
Abraham Lincoln,,2,,,
Abstract,,3,,,
Abstract Algebra,,1,,,
Abstract Submission,,1,,,
Abstract Thinking,,1,,,
Abstract reasoning,,4,,,
Abstract thinking,,3,,,
Academia,,7,,,
Academic,,8,,,
Academic Advisor,,1,,,
Academic Community,,1,,,
Academic Conferences,,2,,,
Academic Databases,,1,,,
Academic Discipline,,1,,,
Academic Integrity,,3,,,
Academic Jobs,,1,,,
Academic Journal,,2,,,
Academic Journals,,7,,,
Academic Pressure,,1,,,
Academic Publishing,,1,,,
Academic Research,,1,,,
Academic Tenure,,1,,,
Academic achievement,,2,,,
Academic achievements,,2,,,
Academic advisor,,1,,,
Academic advisors,,1,,,
Academic articles,,1,,,
Academic competitions,,1,,,
Academic conferences,,2,,,
Academic degrees,,1,,,
Academic excellence,,2,,,
Academic integrity,,1,,,
Academic job market,,1,,,
Academic journals,,7,,,
Academic networking,,1,,,
Academic papers,,2,,,
Academic performance,,2,,,
Academic pressure,,1,,,
Academic research,,1,,,
Academic scholarships,,1,,,
Academic success,,2,,,
Academics,,3,,,
Accelerated,,1,,,
Accelerator,,1,,,
Acceptance,,1,,,
Accessibility,,1,,,
Accomplishment,,1,,,
Accreditation,,1,,,
Achievement,,11,,,
Achievements,,1,,,
Achieving a good score,,1,,,
Acknowledgment,,1,,,
Acquisition Strategies,,1,,,
Action Potential,,1,,,
Active listening,,2,,,
Acumen,,1,,,
Ada Lovelace,,7,,,
Adaptability,,6,,,
Addition,,1,,,
Adept,,1,,,
Adjudicators,,1,,,
Adobe Photoshop,,1,likely misspelled,,
Adobe Reader,,1,,,
Adorno,,1,likely misspelled,,
Adult learning,,1,,,
Adult life,,1,,,
Advanced,,2,,,
Advanced Placement classes,,1,,,
Advanced Prosthetics,,1,likely misspelled,,
Advanced degrees,,2,,,
Advanced learners,,2,,,
Advanced learning,,1,,,
Advanced physics,,1,,,
Advanced placement,,3,,,
Advancement,,1,,,
Adventure,,11,,,
Adventures,,1,,,
Advertisement Targeting,,1,,,
Advice,,1,,,
Advisor,,3,,,
Advisor meetings,,1,,,
Advisors,,2,,,
Aesthetics,,1,,,
AgTech,,1,likely misspelled,,
Age of Empires,,2,,,
Age of Enlightenment,,1,,,
Age of Exploration,,3,,,
Age of Mythology,,2,,,
Ageing,,1,likely misspelled,,
Agile Development,,1,,,
Agile Methodology,,3,,,
Agile methodology,,1,,,
Agile mind,,1,,,
Aging,,2,,,
Agreement,,2,,,
