response,response_correct,response_frequency,spelling_check,acronym_check,acronym_candidate
18th Century,,1,likely misspelled,,
3D Printing,TEST,1,,,
abilities,NA,2,,,
ability,,31,,,
Able,,6,,,
Abrupt,,1,,,
Absorption,,8,,,
Abstract,,56,,,
Abstract art,,1,,,
Abstract Reasoning,,1,,,
Abstract thinking,,8,,,
Abstraction,,40,,,
abyss,,1,,,
Academia,,47,,,
Academic,,44,,,
Academic achievement,,1,,,
academic performance,,1,,,
AcademicJournals,,1,likely misspelled,,
academics,,5,,,
accelerated,,2,,,
Accelerator,,1,,,
Acceptance,,14,,,
Access,,4,,,
Accessibility,,1,,,
Acclimation,,3,,,
Acclimatization,,3,,,
Accommodate,,1,,,
Accommodation,,3,,,
accommodations,,1,,,
Accomplished,,11,,,
accomplishment,,11,,,
Accord,,1,,,
Accountability,,1,,,
accountancy,,1,,,
Accreditation,,6,,,
Accuracy,,10,,,
ace,,2,,potentially an acronym,Air Combat Emulator
Achievement,,32,,,
achiever,,2,,,
Acknowledge,,1,,,
Acknowledgement,,4,likely misspelled,,
Acknowledgment,,9,,,
Acquaintance,,2,,,
acquainted,,1,,,
acquirement,,1,,,
Acquisition,,1,,,
acrobatics,,1,,,
ACT,,1,,likely an acronym,Adaptive Control of Thought
Acting,,1,,,
Action,,1,,,
action potential,,1,,,
action potentials,,1,,,
Activation,,1,,,
active,,1,,,
Acuity,,38,,,
Acumen,,153,,,
acute,,19,,,
acute care,,1,,,
acuteness,,1,,,
Adaptability,,89,,,
Adaptable,,4,,,
Adaptation,,42,,,
Adaptive,,9,,,
adaptive learning,,1,,,
adaptive radiation,,1,,,
addiction,,1,,,
Addition,,1,,,
adept,,49,,,
adeptness,,25,,,
adhesion,,1,,,
Adjust,,1,,,
Adjustability,,1,likely misspelled,,
adjusted,,1,,,
Adjustment,,5,,,
Adjustments,,1,,,
Adroit,,7,,,
Adroitness,,1,,,
adults,,1,,,
Advance,,1,,,
Advanced,,13,,,
Advancement,,12,,,
Advantage,,9,,,
Adventure,,16,,,
advice,,4,,,
advised,,1,,,
